City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
590,hirara,JP,73.67,24.8,125.2833,broken clouds,古謝そば屋
601,kroya,ID,82.9,-7.6331,109.2461,broken clouds,Setia Hotel
610,dwarka,IN,70.81,22.2394,68.9678,clear sky,The Dwarika Hotel
617,tarakan,ID,81.9,3.3,117.6333,broken clouds,Hotel Dynasty
619,grand gaube,MU,73.38,-20.0064,57.6608,heavy intensity rain,Coco Villa
622,garissa,KE,75.78,-0.4536,39.6401,few clouds,Hiddig Hotel
630,semporna,MY,82.78,4.4818,118.6112,overcast clouds,Sipadan Inn II
632,reconquista,AR,81.73,-29.15,-59.65,broken clouds,Hotel San Martin
635,nha trang,VN,73.4,12.25,109.1833,moderate rain,Den Long Đỗ
643,kutoarjo,ID,85.37,-7.7169,109.9128,overcast clouds,Hotel Kencana
648,sao joao da barra,BR,73.08,-21.6403,-41.0511,overcast clouds,Pousada Mediterrâneo
650,bairiki,KI,86.0,1.3292,172.9752,few clouds,Marry's Motel
651,podor,MR,74.39,16.6527,-14.9587,overcast clouds,La Cour du Fleuve
653,loa janan,ID,79.05,-0.583,117.095,moderate rain,Putri Ayu Cottage
657,puerto leguizamo,CO,72.82,-0.1934,-74.7819,broken clouds,Hotel Girasoles
658,tual,ID,81.86,-5.6667,132.75,overcast clouds,Suita
661,gunjur,GM,75.27,13.2019,-16.7339,clear sky,Footsteps Eco Lodge
668,mandera,KE,76.28,3.9366,41.867,broken clouds,Kornesh Hotel and Lodging
669,manokwari,ID,82.22,-0.8667,134.0833,overcast clouds,Hotel Arfak
679,vao,NC,76.44,-22.6667,167.4833,clear sky,Nataiwatch
680,san luis,AR,77.54,-33.295,-66.3356,clear sky,Hotel Dos Venados
690,san juan,AR,77.4,-31.5375,-68.5364,overcast clouds,Hotel San Francisco
691,atambua,ID,82.17,-9.1061,124.8925,clear sky,Hotel Matahari
698,ondjiva,AO,73.69,-17.0667,15.7333,overcast clouds,Águia Verde Hotel
699,camana,PE,70.3,-16.6228,-72.7111,overcast clouds,Caja Arequipa
700,morondava,MG,76.14,-20.2833,44.2833,overcast clouds,Hotel Sharon Menabe
701,bandiagara,ML,70.0,14.3501,-3.6104,overcast clouds,Hôtel Auberge Kansaye
705,moroni,KM,78.8,-11.7022,43.2551,few clouds,Ville de Moroni
